Waypoint(Transform(Location(x=456.615387, y=-188.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=458.461548, y=-189.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=460.307709, y=-190.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=462.153839, y=-190.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=464.000000, y=-191.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=465.846161, y=-192.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=467.692322, y=-193.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=469.538452, y=-193.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=471.384613, y=-194.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=473.230774, y=-195.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=475.076935, y=-196.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=476.923065, y=-196.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=478.769226, y=-197.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=480.615387, y=-198.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=482.461548, y=-199.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=484.307709, y=-200.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=486.153839, y=-200.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=488.000000, y=-201.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=489.846161, y=-202.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=491.692322, y=-203.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=493.538452, y=-203.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=495.384613, y=-204.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=497.230774, y=-205.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=499.076935, y=-206.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=500.923065, y=-206.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=502.769226, y=-207.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=504.615387, y=-208.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=506.461548, y=-209.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=508.307709, y=-210.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=510.153839, y=-210.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=512.000000, y=-211.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=513.846130, y=-212.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=515.692261, y=-213.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=517.538452, y=-213.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=519.384583, y=-214.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=521.230713, y=-215.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=523.076904, y=-216.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=524.923035, y=-216.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=526.769226, y=-217.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=528.615356, y=-218.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=530.461487, y=-219.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=532.307678, y=-220.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=534.153809, y=-220.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=536.000000, y=-221.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=537.846130, y=-222.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=539.692261, y=-223.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=541.538452, y=-223.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=543.384583, y=-224.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=545.230713, y=-225.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=547.076904, y=-226.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=548.923035, y=-226.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=550.769226, y=-227.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=552.615356, y=-228.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=554.461487, y=-229.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=556.307678, y=-230.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=558.153809, y=-230.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=560.000000, y=-231.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=561.846130, y=-232.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=563.692261, y=-233.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=565.538452, y=-233.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=567.384583, y=-234.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=569.230713, y=-235.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=571.076904, y=-236.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=572.923035, y=-236.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=574.769226, y=-237.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=576.615356, y=-238.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=578.461487, y=-239.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=580.307678, y=-240.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=582.153809, y=-240.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=584.000000, y=-241.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=585.846130, y=-242.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=587.692261, y=-243.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=589.538452, y=-243.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=591.384583, y=-244.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=593.230713, y=-245.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=595.076904, y=-246.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=596.923035, y=-246.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=598.769226, y=-247.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=600.615356, y=-248.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=602.461487, y=-249.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=604.307678, y=-250.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=606.153809, y=-250.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=608.000000, y=-251.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=609.846130, y=-252.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=611.692261, y=-253.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=613.538452, y=-253.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=615.384583, y=-254.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=617.230713, y=-255.446136, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=619.076904, y=-256.215393, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=620.923035, y=-256.984619, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=622.769226, y=-257.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=624.615356, y=-258.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=626.461487, y=-259.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=628.307678, y=-260.061523, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=630.153809, y=-260.830750, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=632.000000, y=-261.600006, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=633.846130, y=-262.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=635.692261, y=-263.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=637.538452, y=-263.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
